# postcode distance_miles
AB10 355.214888938 
AB11 355.155924782 
AB12 352.891644343 
AB13 354.705017284 
AB14 354.60622525 
AB15 355.907434948 
AB16 357.350762326 
AB21 361.069084452 
AB22 358.694974576 
AB23 360.043688267 
AB25 356.360358755 
AB30 340.377712012 
AB31 355.832237314 
AB32 358.765216498 
AB33 368.359554798 
AB34 360.779856516 
AB35 361.927704132 
AB36 370.908853094 
AB37 383.554643228 
AB38 391.670838847 
AB39 345.884470916 
AB41 371.152457724 
AB42 377.516966732 
AB43 389.444540795 
AB44 394.620979496 
AB45 394.235450464 
AB51 368.535006244 
AB52 374.490269444 
AB53 384.018835847 
AB54 383.575794555 
AB55 390.986673376 
AB56 400.012764959 
AL1 36.7942412827 
AL10 33.8955932823 
AL2 38.6419975136 
AL3 36.453442097 
AL4 34.7458341113 
AL5 33.9498090534 
AL6 29.011235604 
AL7 30.7282817017 
AL8 30.9047202933 
AL9 34.1173811045 
B1 91.2524470036 
B10 88.8243669875 
B11 88.8825628535 
B12 89.9594675718 
B13 89.4821108681 
B14 89.691075486 
B15 91.7947307142 
B16 92.2956869996 
B17 93.2421735865 
B18 92.1490440931 
B19 91.4455076177 
B2 90.855100465 
B20 92.2694693399 
B21 93.0005609661 
B23 89.8946134233 
B24 88.6346595905 
B25 87.471567275 
B26 86.1747471827 
B27 87.2676851771 
B28 87.8587268166 
B29 92.3479806872 
B3 91.0761511028 
B30 91.3330109007 
B31 93.0501407237 
B32 94.3978221379 
B33 86.3438612644 
B34 86.359510006 
B35 87.0447690227 
B36 86.4138550159 
B37 84.4228344406 
B38 91.3346510251 
B4 90.7766615258 
B40 83.3419372685 
B42 92.3068430951 
B43 93.3071366686 
B44 91.4225924612 
B45 94.3916702272 
B46 83.0185327663 
B47 88.9819478495 
B48 91.5344644026 
B49 87.4396828336 
B5 90.6811210522 
B50 86.8895624908 
B6 90.7528380069 
B60 95.5734256863 
B61 96.4626163125 
B62 96.1192986778 
B63 97.5219926978 
B64 97.8222595761 
B65 96.8977992324 
B66 93.826169425 
B67 94.2574198986 
B68 95.1056725874 
B69 96.5976767099 
B7 90.0833655458 
B70 95.8513913183 
B71 95.5263627318 
B72 88.9988029144 
B73 89.8086834557 
B74 91.107496893 
B75 89.0340940164 
B76 87.4065925821 
B77 84.276767031 
B78 84.2268596904 
B79 85.6242422002 
B8 88.6802468129 
B80 88.7985490827 
B9 88.8626298764 
B90 86.7839860869 
B91 85.1887897979 
B92 85.1562746602 
B93 83.1798462037 
B94 84.9047811659 
B95 83.9303175837 
B96 91.4598041361 
B97 91.4023042398 
B98 89.734696723 
BA1 122.062515564 
BA10 135.099868981 
BA11 126.058234296 
BA12 123.54948575 
BA13 119.746597459 
BA14 118.512287295 
BA15 119.761184039 
BA16 145.551534881 
BA2 123.7116794 
BA20 149.045390243 
BA21 148.198816699 
BA22 147.65407489 
BA3 130.191587133 
BA4 136.027859246 
BA5 139.133620408 
BA6 143.565084228 
BA7 138.626053765 
BA8 138.435188191 
BA9 135.9886299 
BB1 155.530665145 
BB10 150.651403413 
BB11 150.768705571 
BB12 152.843319616 
BB18 155.304545722 
BB2 155.955937191 
BB3 152.885296352 
BB4 147.912202531 
BB5 152.753911297 
BB6 155.941397401 
BB7 159.107810872 
BB8 152.154104763 
BB9 152.452411139 
BD1 138.251912655 
BD10 139.609893896 
BD11 133.898225449 
BD12 135.718884058 
BD13 140.371299729 
BD14 139.067221942 
BD15 141.100040696 
BD16 143.172352691 
BD17 141.45682305 
BD18 140.781580913 
BD19 133.453605152 
BD2 138.817111457 
BD20 148.63643456 
BD21 145.806039573 
BD22 145.987958562 
BD23 156.560473288 
BD24 166.667595711 
BD3 137.754791704 
BD4 136.311295355 
BD5 137.403296467 
BD6 137.310035312 
BD7 138.27297273 
BD8 139.240415266 
BD9 140.045218962 
BH1 133.844522728 
BH10 132.918351101 
BH11 133.5769196 
BH12 135.074926198 
BH13 136.212970701 
BH14 136.425994186 
BH15 137.547670467 
BH16 138.521946033 
BH17 136.056141135 
BH18 135.983697863 
BH19 142.927317705 
BH2 134.602923133 
BH20 144.209298401 
BH21 132.670946959 
BH22 130.443469381 
BH23 129.685979421 
BH24 125.473146691 
BH25 126.689743067 
BH3 133.843494338 
BH31 126.418276477 
BH4 135.091889777 
BH5 133.051747727 
BH6 132.098166869 
BH7 132.439817456 
BH8 132.74868098 
BH9 132.85521402 
BL0 145.921688544 
BL1 147.290756793 
BL2 145.673834527 
BL3 145.763647093 
BL4 143.985255107 
BL5 147.72728051 
BL6 150.372856785 
BL7 148.394792732 
BL8 144.362922805 
BL9 142.510267199 
BN1 93.5067433634 
BN10 95.8120915196 
BN11 97.3406905952 
BN12 97.8925169702 
BN13 96.5275918151 
BN14 96.1126321786 
BN15 95.6577338517 
BN16 98.6750727048 
BN17 99.2185256487 
BN18 97.6156997282 
BN2 94.3179273469 
BN20 96.9638194105 
BN21 97.0650172203 
BN22 96.0412079218 
BN23 95.4144167661 
BN24 94.2166240418 
BN25 96.8465523968 
BN26 93.6852047063 
BN27 90.2761006902 
BN3 94.0269927935 
BN41 93.9986658571 
BN42 94.3329744183 
BN43 94.7028848527 
BN44 91.6039787106 
BN45 90.4308118322 
BN5 88.5742178528 
BN6 87.4596087266 
BN7 90.1724035442 
BN8 87.5172519613 
BN9 95.6598840087 
BR1 53.3770489978 
BR2 54.8790282295 
BR3 54.2754078825 
BR4 56.0184198031 
BR5 54.4656834855 
BR6 56.1510157184 
BR7 53.1991329364 
BR8 53.7910082143 
BS1 129.294659141 
BS10 128.536885239 
BS11 131.369152182 
BS13 131.17142222 
BS14 129.183280085 
BS15 125.694367684 
BS16 125.124299025 
BS2 128.625280558 
BS20 134.916501228 
BS21 139.948247796 
BS22 145.1811771 
BS23 147.28158519 
BS24 146.244809553 
BS25 142.301167223 
BS26 144.678851687 
BS27 141.644688195 
BS28 144.815462607 
BS29 144.008408227 
BS3 130.071741964 
BS30 124.762178272 
BS31 126.600814147 
BS32 125.56883797 
BS34 126.256171278 
BS35 123.843995 
BS36 123.064248063 
BS37 119.931911835 
BS39 130.677148974 
BS4 128.543679933 
BS40 136.25680419 
BS41 132.45666777 
BS48 136.165351308 
BS49 140.193754001 
BS5 127.384064669 
BS6 129.062175845 
BS7 127.873149341 
BS8 130.291137988 
BS9 129.636524032 
BS99 128.364838658 
BT1 303.236086984 
BT10 303.794161598 
BT11 304.804825571 
BT12 303.951795121 
BT13 304.518048861 
BT14 305.156412213 
BT15 304.198260914 
BT16 298.453206543 
BT17 304.731434014 
BT18 301.060399649 
BT19 296.256866716 
BT2 303.091183854 
BT20 296.415271808 
BT21 291.701108614 
BT22 285.744605318 
BT23 294.632089299 
BT24 294.966670835 
BT25 302.710300728 
BT26 302.770483313 
BT27 303.320566137 
BT28 306.144672841 
BT29 313.207062941 
BT3 303.164738679 
BT30 286.246683867 
BT31 293.917721763 
BT32 305.585362906 
BT33 289.350702653 
BT34 297.850710936 
BT35 307.902148587 
BT36 306.972245278 
BT37 305.338647523 
BT38 303.665040241 
BT39 311.570387112 
BT4 301.284266302 
BT40 308.879545839 
BT41 319.419752254 
BT42 324.548933501 
BT43 325.308914133 
BT44 329.105608583 
BT45 333.457934502 
BT46 337.998201065 
BT47 360.60893877 
BT48 365.85170706 
BT49 354.297916884 
BT5 300.88431686 
BT51 345.513005151 
BT52 347.429328227 
BT53 339.604537694 
BT54 337.115043984 
BT55 351.0643727 
BT56 349.744761653 
BT57 345.579824175 
BT6 301.45734154 
BT60 319.114948662 
BT61 320.345819226 
BT62 315.913672449 
BT63 312.961619207 
BT64 314.516728057 
BT65 313.426931065 
BT66 312.566255686 
BT67 311.289552891 
BT68 328.521907021 
BT69 333.901883599 
BT7 302.493495169 
BT70 334.34954621 
BT71 327.690651735 
BT74 358.276982799 
BT75 346.030489297 
BT76 342.650760985 
BT77 340.151512467 
BT78 353.700129076 
BT79 348.997009946 
BT8 300.354510545 
BT80 333.455226974 
BT81 366.025005952 
BT82 363.341037361 
BT9 303.003084901 
BT92 347.614443872 
BT93 367.450597114 
BT94 354.480099301 
CA1 226.77551194 
CA10 205.450460086 
CA11 211.426154839 
CA12 216.788561278 
CA13 225.97512155 
CA14 229.319918115 
CA15 231.734424801 
CA16 199.265741076 
CA17 190.818415147 
CA18 211.412709875 
CA19 212.773246568 
CA2 227.547938686 
CA20 216.165998354 
CA21 219.414700631 
CA22 221.566890447 
CA23 222.139881681 
CA24 223.582966544 
CA25 223.262262028 
CA26 223.279550383 
CA27 223.856714657 
CA28 225.995845438 
CA3 228.606389604 
CA4 222.77413039 
CA5 227.492638963 
CA6 232.468014394 
CA7 230.335817777 
CA8 224.737802136 
CA9 211.055287582 
CB1 0.0 
CB10 10.6003228785 
CB11 12.2113853196 
CB2 2.58457549108 
CB3 7.46289986814 
CB4 5.6220689753 
CB5 4.44626646544 
CB6 15.8300901705 
CB7 14.2802676864 
CB8 10.7621620516 
CB9 12.5024627183 
CF10 152.133150305 
CF11 152.806225665 
CF14 152.20425009 
CF15 154.74272613 
CF23 150.171123116 
CF24 151.388043067 
CF3 148.450145766 
CF31 167.716566419 
CF32 166.98381299 
CF33 172.11293975 
CF34 168.876709524 
CF35 165.101720004 
CF36 173.236277896 
CF37 155.814120634 
CF38 156.623799907 
CF39 159.577236635 
CF40 160.344240591 
CF41 161.152129201 
CF42 162.520280116 
CF43 159.629598009 
CF44 159.026164004 
CF45 155.775864696 
CF46 153.30691609 
CF47 155.008908293 
CF48 154.948517499 
CF5 154.629942239 
CF61 166.035612713 
CF62 159.167424721 
CF63 156.870278783 
CF64 153.646863908 
CF71 163.751327234 
CF72 159.95857081 
CF81 150.334218554 
CF82 150.880363547 
CF83 151.36032258 
CH1 148.226106692 
CH2 147.205395636 
CH3 143.941671936 
CH4 148.314303796 
CH41 159.090488237 
CH42 158.068020294 
CH43 159.703202189 
CH44 160.048428632 
CH45 161.008380649 
CH46 162.291519045 
CH47 164.093747943 
CH48 163.316801409 
CH49 161.245514431 
CH5 153.215714382 
CH6 158.497035462 
CH60 159.099304188 
CH61 160.051629966 
CH62 155.250401552 
CH63 156.705907284 
CH64 156.0995693 
CH65 150.462315273 
CH66 151.622175056 
CH7 155.616511287 
CH8 163.015832963 
CM0 44.9775280492 
CM1 31.9060508688 
CM11 39.7696839191 
CM12 39.1005757475 
CM13 39.2991145742 
CM14 38.8292322246 
CM15 37.1824816196 
CM16 33.0375346922 
CM17 28.0638544252 
CM18 29.2534725923 
CM19 29.1776517621 
CM2 33.8561437446 
CM20 27.9608901207 
CM21 25.2331530125 
CM22 21.7523754109 
CM23 21.1260600237 
CM24 19.165151894 
CM3 35.7593015563 
CM4 35.7649262792 
CM5 31.5584880345 
CM6 22.0076332876 
CM7 24.3627396149 
CM8 32.0190930453 
CM9 37.185553955 
CM77 26.5736278256 
CO1 36.5570418559 
CO10 24.1722544509 
CO11 41.1970671129 
CO12 48.4510874992 
CO13 50.4912272137 
