#Station_name station_code postcode
Abbey Wood,ABW,SE2 9RH
Aber,ABE,CF83 1AQ
Abercynon,ACY,CF45 4SE
Aberdare,ABA,CF44 0PU
Aberdeen,ABD,AB11 6LX
Aberdour,AUR,KY3 0SN
Aberdovey,AVY,LL35 0NR
Abererch,ABH,LL53 6PJ
Abergavenny,AGV,NP7 5HS
Abergele & Pensarn,AGL,LL22 7PR
Aberystwyth,AYW,SY23 1LH
Accrington,ACR,BB5 1LJ
Achanalt,AAT,IV23 2QD
Achnasheen,ACN,IV22 2EJ
Achnashellach,ACH,IV54 8YH
Acklington,ACK,NE65 4DE
Acle,ACL,NR13 3BZ
Acocks Green,ACG,B27 6EB
Acton Bridge,ACB,CW8 2RE
Acton Central,ACC,W3 6BH
Acton Main Line,AML,W3 9EH
Adderley Park,ADD,B9 4TG
Addiewell,ADW,EH55 8NQ
Addlestone,ASN,KT15 2PB
Adisham,ADM,CT3 3JE
Adlington (Cheshire),ADC,SK10 4NA
Adlington (Lancashire),ADL,PR6 9RS
Adwick,AWK,DN6 7AJ
Aigburth,AIG,L17 6AG
Ainsdale,ANS,PR8 3HJ
Aintree,AIN,L9 5BE
Airbles,AIR,ML1 2SX
Airdrie,ADR,ML6 9EX
Albany Park,AYP,DA5 3HP
Albrighton,ALB,WV7 3DS
Alderley Edge,ALD,SK9 7QA
Aldermaston,AMT,RG7 4LB
Aldershot,AHT,GU11 1HN
Aldrington,AGT,BN3 5AE
Alexandra Palace,AAP,N22 7ST
Alexandra Parade,AXP,G31 3JN
Alexandria,ALX,G83 0UL
Alfreton,ALF,DE55 7JQ
Allen's West,ALW,TS16 0PF
Alloa,ALO,FK10 1BA
Alness,ASS,IV17 0SE
Alnmouth,ALM,NE66 3QF
Alresford,ALR,CO7 8AA
Alsager,ASG,ST7 2XW
Althorne,ALN,CM3 6DG
Althorpe,ALP,DN17 3HL
Altnabreac,ABC,KW12 6UR
Alton,AON,GU34 2PZ
Altrincham,ALT,WA14 1EN
Alvechurch,ALV,B48 7SE
Ambergate,AMB,DE56 2EN
Amberley,AMY,BN18 9LR
Amersham,AMR,HP6 5AZ
